table_name,constraint_name,constraint_type
activities,2200_17694_19_not_null,CHECK
activities,2200_17694_17_not_null,CHECK
activities,2200_17694_7_not_null,CHECK
activities,activities_company_id_fkey,FOREIGN KEY
activities,activities_contact_id_fkey,FOREIGN KEY
activities,activities_interaction_type_check,CHECK
activities,activities_pkey,PRIMARY KEY
activities,activities_project_id_fkey,FOREIGN KEY
activities,activities_rep_id_fkey,FOREIGN KEY
activities,activities_submission_status_check,CHECK
activities,2200_17694_6_not_null,CHECK
activities,2200_17694_3_not_null,CHECK
activities,2200_17694_1_not_null,CHECK
activities,activities_activity_code_key,UNIQUE
branches,2200_17872_3_not_null,CHECK
branches,2200_17872_2_not_null,CHECK
branches,2200_17872_1_not_null,CHECK
branches,branches_region_check,CHECK
branches,branches_pkey,PRIMARY KEY
companies,2200_17646_1_not_null,CHECK
companies,companies_branch_id_fkey,FOREIGN KEY
companies,companies_company_type_check,CHECK
companies,companies_source_check,CHECK
companies,customers_company_type_check,CHECK
companies,customers_customer_code_key,UNIQUE
companies,customers_pkey,PRIMARY KEY
companies,customers_primary_rep_id_fkey,FOREIGN KEY
companies,customers_region_check,CHECK
companies,customers_status_check,CHECK
companies,2200_17646_17_not_null,CHECK
companies,2200_17646_16_not_null,CHECK
companies,2200_17646_14_not_null,CHECK
companies,2200_17646_3_not_null,CHECK
company_holidays,2200_18525_3_not_null,CHECK
company_holidays,valid_date_range,CHECK
company_holidays,company_holidays_pkey,PRIMARY KEY
company_holidays,company_holidays_created_by_fkey,FOREIGN KEY
company_holidays,2200_18525_1_not_null,CHECK
company_holidays,2200_18525_2_not_null,CHECK
company_holidays,2200_18525_6_not_null,CHECK
company_holidays,2200_18525_4_not_null,CHECK
company_reps,2200_18161_3_not_null,CHECK
company_reps,company_reps_pkey,PRIMARY KEY
company_reps,company_reps_company_id_rep_id_key,UNIQUE
company_reps,company_reps_company_id_fkey,FOREIGN KEY
company_reps,company_reps_assigned_by_fkey,FOREIGN KEY
company_reps,2200_18161_1_not_null,CHECK
company_reps,2200_18161_2_not_null,CHECK
company_reps,2200_18161_4_not_null,CHECK
company_reps,company_reps_role_check,CHECK
company_reps,company_reps_rep_id_fkey,FOREIGN KEY
contacts,contacts_company_id_fkey,FOREIGN KEY
contacts,contacts_contact_code_key,UNIQUE
contacts,contacts_created_by_fkey,FOREIGN KEY
contacts,2200_17979_3_not_null,CHECK
contacts,2200_17979_4_not_null,CHECK
contacts,contacts_pkey,PRIMARY KEY
contacts,2200_17979_1_not_null,CHECK
duplicate_flags,duplicate_flags_match_type_check,CHECK
duplicate_flags,duplicate_flags_classification_check,CHECK
duplicate_flags,duplicate_flags_customer_id_1_fkey,FOREIGN KEY
duplicate_flags,duplicate_flags_customer_id_2_fkey,FOREIGN KEY
duplicate_flags,duplicate_flags_pkey,PRIMARY KEY
duplicate_flags,duplicate_flags_resolved_by_fkey,FOREIGN KEY
duplicate_flags,2200_17715_1_not_null,CHECK
duplicate_flags,2200_17715_6_not_null,CHECK
duplicate_flags,2200_17715_9_not_null,CHECK
notifications,notifications_recipient_id_fkey,FOREIGN KEY
notifications,notifications_type_check,CHECK
notifications,2200_18099_1_not_null,CHECK
notifications,2200_18099_4_not_null,CHECK
notifications,2200_18099_3_not_null,CHECK
notifications,2200_18099_2_not_null,CHECK
notifications,notifications_entity_type_check,CHECK
notifications,notifications_pkey,PRIMARY KEY
project_history,2200_18697_1_not_null,CHECK
project_history,project_history_project_id_fkey,FOREIGN KEY
project_history,project_history_pkey,PRIMARY KEY
project_history,project_history_changed_by_fkey,FOREIGN KEY
project_history,2200_18697_5_not_null,CHECK
project_history,2200_18697_4_not_null,CHECK
project_history,2200_18697_2_not_null,CHECK
project_reps,2200_18204_1_not_null,CHECK
project_reps,project_reps_role_check,CHECK
project_reps,project_reps_rep_id_fkey,FOREIGN KEY
project_reps,project_reps_project_id_rep_id_key,UNIQUE
project_reps,project_reps_project_id_fkey,FOREIGN KEY
project_reps,project_reps_pkey,PRIMARY KEY
project_reps,project_reps_assigned_by_fkey,FOREIGN KEY
project_reps,2200_18204_2_not_null,CHECK
project_reps,2200_18204_3_not_null,CHECK
project_reps,2200_18204_4_not_null,CHECK
projects,2200_17668_1_not_null,CHECK
projects,projects_customer_id_fkey,FOREIGN KEY
projects,projects_pkey,PRIMARY KEY
projects,projects_contact_id_fkey,FOREIGN KEY
projects,projects_assigned_rep_id_fkey,FOREIGN KEY
projects,2200_17668_23_not_null,CHECK
projects,2200_17668_17_not_null,CHECK
projects,2200_17668_16_not_null,CHECK
