table_name,column_name,foreign_table_name,foreign_column_name
activities,contact_id,contacts,id
activities,company_id,companies,id
activities,project_id,projects,id
activities,rep_id,reps,id
companies,branch_id,branches,id
companies,primary_rep_id,reps,id
company_holidays,created_by,reps,id
company_reps,company_id,companies,id
company_reps,rep_id,reps,id
company_reps,assigned_by,reps,id
contacts,created_by,reps,id
contacts,company_id,companies,id
duplicate_flags,company_id_1,companies,id
duplicate_flags,company_id_2,companies,id
duplicate_flags,resolved_by,reps,id
notifications,recipient_id,reps,id
project_history,changed_by,reps,id
project_history,project_id,projects,id
project_reps,project_id,projects,id
project_reps,assigned_by,reps,id
project_reps,rep_id,reps,id
projects,customer_id,companies,id
projects,assigned_rep_id,reps,id
projects,contact_id,contacts,id
quotation_items,quotation_id,quotations,id
quotation_services,quotation_id,quotations,id
quotations,coordinator_id,reps,id
quotations,company_id,companies,id
quotations,assigned_to_id,reps,id
quotations,project_id,projects,id
quotations,rep_id,reps,id
rep_absences,rep_id,reps,id
rep_absences,created_by,reps,id
reps,branch_id,branches,id
