event_object_table,trigger_name,action_timing,event_manipulation
activities,trg_activity_code,BEFORE,INSERT
buckets,enforce_bucket_name_length_trigger,BEFORE,UPDATE
buckets,protect_buckets_delete,BEFORE,DELETE
buckets,enforce_bucket_name_length_trigger,BEFORE,INSERT
companies,trg_normalize_customer,BEFORE,UPDATE
companies,trg_customer_code,BEFORE,INSERT
companies,trg_customers_updated,BEFORE,UPDATE
companies,trg_normalize_customer,BEFORE,INSERT
company_reps,trg_notify_company_assignment,AFTER,INSERT
contacts,trg_contacts_updated,BEFORE,UPDATE
contacts,trg_contact_code,BEFORE,INSERT
duplicate_flags,trg_notify_duplicate,AFTER,INSERT
objects,protect_objects_delete,BEFORE,DELETE
objects,update_objects_updated_at,BEFORE,UPDATE
projects,trg_project_history,AFTER,UPDATE
projects,trg_project_code,BEFORE,INSERT
projects,trg_projects_updated,BEFORE,UPDATE
quotation_items,trg_update_quotation_sqm,AFTER,DELETE
quotation_items,trg_update_quotation_sqm,AFTER,INSERT
quotation_items,trg_update_quotation_sqm,AFTER,UPDATE
quotations,trg_quotations_updated,BEFORE,UPDATE
quotations,trg_quotation_code,BEFORE,INSERT
quotations,trg_sync_project_sqm,AFTER,INSERT
quotations,trg_sync_project_sqm,AFTER,DELETE
quotations,trg_sync_project_sqm,AFTER,UPDATE
reps,trg_notify_pending_rep,AFTER,INSERT
subscription,tr_check_filters,BEFORE,UPDATE
subscription,tr_check_filters,BEFORE,INSERT
